"monthId";"questionComments";"users";"questionCommentByUser";"expert"
"6";"98";"32";"3,0625";"1"
"7";"164";"46";"3,5652";"1"
"8";"144";"39";"3,6923";"1"
"9";"171";"45";"3,8000";"1"
"10";"200";"47";"4,2553";"1"
"11";"212";"45";"4,7111";"1"
"12";"220";"43";"5,1163";"1"
"13";"167";"40";"4,1750";"1"
"14";"228";"54";"4,2222";"1"
"15";"210";"50";"4,2000";"1"
"16";"148";"40";"3,7000";"1"
"17";"184";"49";"3,7551";"1"
"18";"98";"36";"2,7222";"1"
"19";"151";"41";"3,6829";"1"
"20";"196";"47";"4,1702";"1"
"21";"130";"40";"3,2500";"1"
"22";"209";"47";"4,4468";"1"
"23";"168";"41";"4,0976";"1"
"24";"194";"48";"4,0417";"1"
"25";"250";"43";"5,8140";"1"
"26";"233";"54";"4,3148";"1"
"27";"284";"52";"5,4615";"1"
"28";"333";"44";"7,5682";"1"
"29";"379";"46";"8,2391";"1"
"30";"320";"51";"6,2745";"1"
"31";"244";"36";"6,7778";"1"
"32";"352";"59";"5,9661";"1"
"33";"293";"52";"5,6346";"1"
"34";"310";"60";"5,1667";"1"
"35";"369";"61";"6,0492";"1"
"36";"405";"61";"6,6393";"1"
"37";"351";"66";"5,3182";"1"
"38";"453";"71";"6,3803";"1"
"39";"453";"74";"6,1216";"1"
"40";"451";"74";"6,0946";"1"
"41";"531";"71";"7,4789";"1"
"42";"640";"75";"8,5333";"1"
"43";"672";"81";"8,2963";"1"
"44";"705";"84";"8,3929";"1"
"45";"744";"98";"7,5918";"1"
"46";"739";"99";"7,4646";"1"
"47";"640";"83";"7,7108";"1"
"48";"759";"112";"6,7768";"1"
"49";"820";"98";"8,3673";"1"
"50";"607";"95";"6,3895";"1"
"51";"546";"75";"7,2800";"1"
"52";"545";"88";"6,1932";"1"
"53";"693";"90";"7,7000";"1"
"54";"511";"78";"6,5513";"1"
"55";"649";"71";"9,1408";"1"
"56";"592";"81";"7,3086";"1"
"57";"586";"77";"7,6104";"1"
"58";"587";"82";"7,1585";"1"
"59";"180";"40";"4,5000";"1"
"6";"16";"10";"1,6000";"0"
"7";"14";"9";"1,5556";"0"
"8";"15";"12";"1,2500";"0"
"9";"8";"7";"1,1429";"0"
"10";"20";"15";"1,3333";"0"
"11";"29";"15";"1,9333";"0"
"12";"33";"22";"1,5000";"0"
"13";"17";"11";"1,5455";"0"
"14";"23";"15";"1,5333";"0"
"15";"32";"21";"1,5238";"0"
"16";"20";"18";"1,1111";"0"
"17";"24";"15";"1,6000";"0"
"18";"16";"12";"1,3333";"0"
"19";"24";"15";"1,6000";"0"
"20";"44";"29";"1,5172";"0"
"21";"23";"15";"1,5333";"0"
"22";"18";"14";"1,2857";"0"
"23";"30";"19";"1,5789";"0"
"24";"48";"31";"1,5484";"0"
"25";"73";"42";"1,7381";"0"
"26";"32";"22";"1,4545";"0"
"27";"55";"32";"1,7188";"0"
"28";"47";"27";"1,7407";"0"
"29";"32";"25";"1,2800";"0"
"30";"46";"27";"1,7037";"0"
"31";"60";"33";"1,8182";"0"
"32";"69";"47";"1,4681";"0"
"33";"44";"26";"1,6923";"0"
"34";"60";"43";"1,3953";"0"
"35";"79";"53";"1,4906";"0"
"36";"108";"66";"1,6364";"0"
"37";"82";"50";"1,6400";"0"
"38";"142";"75";"1,8933";"0"
"39";"142";"83";"1,7108";"0"
"40";"95";"63";"1,5079";"0"
"41";"111";"57";"1,9474";"0"
"42";"118";"63";"1,8730";"0"
"43";"154";"89";"1,7303";"0"
"44";"150";"90";"1,6667";"0"
"45";"144";"86";"1,6744";"0"
"46";"142";"84";"1,6905";"0"
"47";"150";"87";"1,7241";"0"
"48";"121";"84";"1,4405";"0"
"49";"206";"104";"1,9808";"0"
"50";"180";"98";"1,8367";"0"
"51";"152";"94";"1,6170";"0"
"52";"143";"92";"1,5543";"0"
"53";"203";"105";"1,9333";"0"
"54";"121";"73";"1,6575";"0"
"55";"193";"98";"1,9694";"0"
"56";"226";"116";"1,9483";"0"
"57";"215";"113";"1,9027";"0"
"58";"216";"125";"1,7280";"0"
"59";"49";"32";"1,5313";"0"
