"monthid";"avgThreadLen";"hasExp"
"0";"7,0000";"1"
"1";"8,0000";"1"
"6";"6,6571";"1"
"7";"6,7302";"1"
"8";"5,4514";"1"
"9";"5,3701";"1"
"10";"6,6364";"1"
"11";"6,5397";"1"
"12";"5,6917";"1"
"13";"6,0825";"1"
"14";"7,3587";"1"
"15";"5,9683";"1"
"16";"5,3750";"1"
"17";"5,6271";"1"
"18";"5,6897";"1"
"19";"4,9256";"1"
"20";"5,2270";"1"
"21";"4,6783";"1"
"22";"5,1838";"1"
"23";"5,2148";"1"
"24";"4,8151";"1"
"25";"6,3772";"1"
"26";"4,5464";"1"
"27";"4,9746";"1"
"28";"5,7578";"1"
"29";"5,4264";"1"
"30";"5,5799";"1"
"31";"5,2588";"1"
"32";"4,7258";"1"
"33";"4,9204";"1"
"34";"4,7860";"1"
"35";"5,4250";"1"
"36";"5,4645";"1"
"37";"5,4206";"1"
"38";"6,0653";"1"
"39";"5,8814";"1"
"40";"5,1392";"1"
"41";"5,7586";"1"
"42";"6,2980";"1"
"43";"7,1369";"1"
"44";"5,9139";"1"
"45";"6,3741";"1"
"46";"5,8394";"1"
"47";"6,1324";"1"
"48";"6,2852";"1"
"49";"6,1967";"1"
"50";"6,0039";"1"
"51";"4,9331";"1"
"52";"5,1419";"1"
"53";"4,8482";"1"
"54";"5,1609";"1"
"55";"5,6629";"1"
"56";"4,6957";"1"
"57";"4,3602";"1"
"58";"4,8156";"1"
"59";"4,5000";"1"
"6";"3,5000";"0"
"7";"1,0000";"0"
"8";"1,0000";"0"
"9";"1,0000";"0"
"10";"1,2000";"0"
"11";"1,3333";"0"
"12";"0,5000";"0"
"13";"0,5000";"0"
"14";"0,5000";"0"
"15";"1,0000";"0"
"16";"1,0000";"0"
"17";"1,3333";"0"
"18";"2,3333";"0"
"19";"0,6667";"0"
"20";"0,6000";"0"
"21";"0,0000";"0"
"22";"1,0000";"0"
"23";"1,0000";"0"
"24";"1,0909";"0"
"25";"1,7500";"0"
"26";"0,6667";"0"
"27";"1,0000";"0"
"28";"0,3333";"0"
"29";"0,4167";"0"
"30";"0,1111";"0"
"31";"0,3333";"0"
"32";"1,1000";"0"
"33";"1,0000";"0"
"34";"0,6471";"0"
"35";"0,8000";"0"
"36";"0,6250";"0"
"37";"1,0000";"0"
"38";"0,8889";"0"
"39";"1,0000";"0"
"40";"0,4615";"0"
"41";"0,7500";"0"
"42";"0,2500";"0"
"43";"0,3636";"0"
"44";"0,4286";"0"
"45";"0,5333";"0"
"46";"0,8462";"0"
"47";"0,5263";"0"
"48";"0,4286";"0"
"49";"0,4118";"0"
"50";"0,6129";"0"
"51";"0,2632";"0"
"52";"0,3208";"0"
"53";"0,4179";"0"
"54";"0,4250";"0"
"55";"0,5957";"0"
"56";"0,4110";"0"
"57";"0,5469";"0"
"58";"0,4559";"0"
"59";"0,1429";"0"
